"City.Feature","Common.Name","Address","Website","Longitude","Latitude","Location","Neighborhood"
"Parks","Cleveland Playfield","S Lucile St and 13th Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=404",-122.315542025326,47.5520115483017,"(47.5520115483017, -122.315542025326)","Beacon Hill"
"Parks","Colman Playground","1740 23rd Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=406",-122.301957035525,47.587625380775,"(47.587625380775, -122.301957035525)","Atlantic"
"Parks","Georgetown Playfield","750 S Homer St","http://www.seattle.gov/parks/park_detail.asp?ID=410",-122.321395622454,47.5516197319685,"(47.5516197319685, -122.321395622454)","Georgetown"
"Parks","Lakewood Plaground","5013 S Angeline St","http://www.seattle.gov/parks/park_detail.asp?ID=414",-122.270059558155,47.5588308046035,"(47.5588308046035, -122.270059558155)","Lakewood"
"Parks","Maple Wood Playfield","4801 Corson Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=418",-122.31884514896,47.5600408806488,"(47.5600408806488, -122.31884514896)","Beacon Hill"
"Parks","Rainer Beach Playfield","8802 Rainier Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=422",-122.273135760829,47.5250409543704,"(47.5250409543704, -122.273135760829)","Dunlap"
"Parks","Rainier Playfield","3700 S Alaska St.","http://www.seattle.gov/parks/park_detail.asp?ID=423",-122.286200070963,47.5618173265164,"(47.5618173265164, -122.286200070963)","Columbia City"
"Parks","Van Asselt Playground","7200 Beacon Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=431",-122.294067595442,47.5394460989017,"(47.5394460989017, -122.294067595442)","Holly Park"
"Parks","University Playground","9th Ave NE and NE 50th St.","http://www.seattle.gov/parks/park_detail.asp?ID=435",-122.319312327795,47.6644474051006,"(47.6644474051006, -122.319312327795)","University District"
"Parks","Benefit Playground","9320 38th Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=436",-122.284294216374,47.5189982440007,"(47.5189982440007, -122.284294216374)","South Beacon Hill"
"Parks","Victory Heights Playground","1737 NE 106th St","http://www.seattle.gov/parks/park_detail.asp?ID=438",-122.307833800029,47.7056715231328,"(47.7056715231328, -122.307833800029)","Victory Heights"
"Parks","Hutchinson Playground","S Norfolk St and 59th Ave S","http://www.seattle.gov/parks/park_detail.asp?ID=439",-122.26006214919,47.5143120790222,"(47.5143120790222, -122.26006214919)","Rainier Beach"
"Parks","Alki Playground","5817 SW Lander St","http://www.seattle.gov/parks/park_detail.asp?ID=446",-122.40731233767,47.5784972617799,"(47.5784972617799, -122.40731233767)","Alki"
"Parks","Wallingford Playfield","4219 Wallingford Ave N","http://www.seattle.gov/parks/park_detail.asp?ID=449",-122.33744372477,47.6585444344469,"(47.6585444344469, -122.33744372477)","Wallingford"
"Parks","Delridge Playfield","4458 Delridge Way SW","http://www.seattle.gov/parks/park_detail.asp?ID=450",-122.364370690361,47.5628424487087,"(47.5628424487087, -122.364370690361)","North Delridge"
"Parks","Fairmount Playground","5400 Fauntleroy Way SW","http://www.seattle.gov/parks/park_detail.asp?ID=452",-122.3805488504,47.5540408122029,"(47.5540408122029, -122.3805488504)","Fairmount Park"
"Parks","Hamilton Viewpoint","1531 California Wy SW","http://www.seattle.gov/parks/park_detail.asp?ID=454",-122.389069703111,47.5907475150499,"(47.5907475150499, -122.389069703111)","Admiral"
"Parks","Hiawatha Playfield","2700 California Ave SW","http://www.seattle.gov/parks/park_detail.asp?ID=456",-122.384964699838,47.5782724270145,"(47.5782724270145, -122.384964699838)","Admiral"
"Parks","Highland Park Playground","1100 SW Cloverdale St","http://www.seattle.gov/parks/park_detail.asp?ID=457",-122.349034022359,47.527379719227,"(47.527379719227, -122.349034022359)","Highland Park"
"Parks","E.C. Hughes Playground","2805 SW Holden St","http://www.seattle.gov/parks/park_detail.asp?ID=458",-122.369545228851,47.5328049082455,"(47.5328049082455, -122.369545228851)","Roxhill"
"Parks","South Park Playfield","738 S Sullivan St","http://www.seattle.gov/parks/park_detail.asp?ID=467",-122.324158773464,47.5280159781691,"(47.5280159781691, -122.324158773464)","South Park"
